var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
crc32_tab,0,0,0
crc32_context,0,0,0
__undefined,0,0,0
g_2,1,0,13
g_20,0,1,6
g_21,1,2,7
g_30,0,2,0
g_55,1,0,0
g_58,0,3,4
g_105,0,0,0
g_130,0,0,2
g_162,0,0,3
g_166,0,0,0
g_182,0,0,0
g_183,0,2,0
g_187,0,0,0
g_188,0,1,2
g_197,0,0,1
g_198,0,0,1
g_200,0,0,0
g_201,0,0,0
g_240,0,0,0
g_303,0,0,0
g_379,0,0,0
g_382,0,0,0
g_422,0,1,2
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,23,0
_IO_stdin_used,0,0,0
