var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_2,2,1,14
g_24,0,0,10
g_27,0,0,1
g_39,0,0,8
g_42,0,0,2
g_44,1,1,5
g_46,0,0,1
g_48,0,0,4
g_50,0,0,2
g_107,1,1,5
g_126,0,0,3
g_128,0,0,3
g_131,0,0,1
g_137,0,0,1
g_139,0,0,0
g_159,0,0,4
g_161,0,0,0
g_239,0,0,0
g_243,0,0,0
g_247,0,0,2
g_263,0,0,2
g_334,0,0,1
g_342,0,0,1
g_813,1,0,2
g_934,0,0,1
g_398,0,0,5
g_168,0,0,7
g_72,0,0,1
g_120,0,0,2
g_99,0,0,8
g_554,0,0,2
g_624,0,0,10
g_804,0,0,3
g_849,0,1,0
g_621,0,0,3
g_835,0,0,1
g_881,0,0,1
g_623,0,0,14
g_397,0,0,6
g_616,0,0,2
g_396,0,0,4
g_756,0,0,3
g_805,0,0,1
g_882,0,0,4
g_757,0,0,2
g_399,0,0,2
g_691,0,0,1
g_73,0,0,1
g_617,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,35,0
_IO_stdin_used,0,0,0
